0,0,210,0.5,5,1000,50
1,0,210,2.66,35,900,150
2,0,210,1.51,30,2250,450
3,0,210,4.15,15,5600,350
4,0,210,3.93,10,2700,300
5,0,210,3.55,35,1800,200
6,0,210,4.23,15,4500,250
7,0,210,4.98,50,6000,300
8,0,210,1.65,45,3700,50
9,0,210,4.23,50,8550,450
10,0,210,4.98,25,1500,300
11,0,210,3.17,40,5250,250
12,0,210,3.05,45,6400,400
13,0,210,3.19,50,4150,50
14,0,210,4.36,10,1900,100
15,0,210,2.97,50,250,50
16,0,210,0.54,45,1200,400
17,0,210,4.02,30,4400,100
18,0,210,1.74,40,1300,50
19,0,210,1.87,35,3200,400
20,0,210,0.87,50,400,400
21,0,210,4.91,15,4000,400
22,0,210,3.71,5,4000,50
23,0,210,2.28,45,9600,300
24,0,210,1.98,35,9900,300
25,0,210,1.65,35,2500,500
26,0,210,1.59,5,5200,400
27,0,210,2.04,20,2000,200
28,0,210,3.4,40,2500,500
29,0,210,2.18,30,2100,350
30,0,210,1.58,25,6300,350
31,0,210,1.97,40,4250,250
32,0,210,2.56,50,6650,350
33,0,210,0.68,45,4400,200
34,0,210,1.43,45,300,300
35,0,210,1.15,40,7800,200
36,0,210,2.03,10,7800,200
37,0,210,3.6,45,6400,400
38,0,210,1.78,35,7750,250
39,0,210,4.78,45,3700,100
40,0,210,2.9,25,4200,200
41,0,210,1.94,20,6650,350
42,0,210,4.6,10,6300,350
43,0,210,1.79,40,2700,150
44,0,210,4.39,5,6100,100
45,0,210,4.29,40,4500,150
46,0,210,1.12,10,10000,500
47,0,210,4.53,15,2000,500
48,0,210,3.19,40,9900,100
49,0,210,2.64,50,3500,250
50,0,210,1.0,45,7600,400
51,0,210,4.2,35,1300,100
52,0,210,3.51,40,4000,400
53,0,210,3.53,40,1100,100
54,0,210,1.46,30,8700,300
55,0,210,1.82,30,4000,200
56,0,210,4.32,50,9800,100
57,0,210,0.93,15,4050,450
58,0,210,2.16,10,3600,400
59,0,210,4.5,35,8550,450
60,0,210,1.93,30,7200,50
61,0,210,0.94,50,6200,100
62,0,210,4.99,15,9450,450
63,0,210,2.71,5,5400,200
64,0,210,1.1,40,2200,100
65,0,210,1.72,30,4500,500
66,0,210,1.11,5,6400,400
67,0,210,2.92,20,1800,300
68,0,210,1.08,5,8750,250
69,0,210,2.8,30,7100,100
70,0,210,1.51,15,2800,350
71,0,210,0.61,40,4600,200
72,0,210,3.66,10,5850,150
73,0,210,1.05,20,9450,450
74,0,210,0.71,15,7200,400
75,0,210,4.27,50,1750,50
76,0,210,0.67,40,5850,450
77,0,210,2.55,10,2100,100
78,0,210,1.98,5,4050,150
79,0,210,4.25,35,7950,50
80,0,210,1.46,35,9500,250
81,0,210,3.14,10,7500,300
82,0,210,2.77,35,8250,150
83,0,210,1.5,20,1650,150
84,0,210,3.81,45,1800,100
85,0,210,2.84,40,7250,250
86,0,210,1.08,15,5600,100
87,0,210,3.81,45,6400,400
88,0,210,4.91,15,5000,500
89,0,210,2.49,10,9000,150
90,0,210,2.62,20,6300,450
91,0,210,0.83,20,3000,500
92,0,210,0.66,35,10000,500
93,0,210,2.73,20,5050,50
94,0,210,3.89,30,750,150
95,0,210,1.16,40,4950,450
96,0,210,2.62,40,50,50
97,0,210,3.19,10,7500,500
98,0,210,2.98,40,5500,500
99,0,210,3.12,40,6600,200
100,0,210,2.75,45,9250,250
101,0,210,4.06,45,6600,200
102,0,210,4.35,25,800,50
